Keyword Phrase,Search Volume,Search Volume Trend (%),Search Frequency Rank,Search Frequency Rank Trend (%),Top 3 ASINs Total Click Share,Top 3 ASINs Total Click Share Trend,Top 3 ASINs Total Conv. Share,Top 3 ASINs Total Conv. Share Trend,Top 1 ASIN,Top 1 ASIN Click Share,Top 1 ASIN Click Share Trend,Top 1 ASIN Conv. Share,Top 1 ASIN Conv. Share Trend,Top 2 ASIN,Top 2 ASIN Click Share,Top 2 ASIN Click Share Trend,Top 2 ASIN Conv. Share,Top 2 ASIN Conv. Share Trend,Top 3 ASIN,Top 3 ASIN Click Share,Top 3 ASIN Click Share Trend,Top 3 ASIN Conv. Share,Top 3 ASIN Conv. Share Trend,Competing Products,Top 3 Clicked ASINs Monthly Average Age,Top 3 ASINs Total Monthly Sales,Top 3 ASINs Total Monthly Revenue,Top 3 ASINs Total Review Count,Top 3 ASIN Total Average Rating
jansport backpack,1583423,50.2,28,7,39.5,-6.1,28.7,0.6,B0007QCQGI,18.2,-2,16,2.4,B083VRVYLZ,13.7,-2.4,10,-1.7,B08W2L7MC2,7.6,-1.7,2.7,0,1000,,117346,4741372.17,45925,4.6
kindle,1551762,-34.7,12,-300,51.9,-12.9,31.1,-9.3,B09SWV3BYH,22.3,-12,12.4,-13,B09TMZKQR7,18.9,-3.8,10.4,-2.2,B09SWW583J,10.7,2.8,8.3,5.8,534,,,0,,
tattoo cover up,1448614,276.1,24,96,28.4,-25.3,3.3,2.3,B0DCG1KKQ7,10.4,-11.4,2.9,2.9,B0DCF9H5ZZ,9.5,-7.2,0.4,0.4,B0DDKMFNJL,8.5,-6.7,0,-0.9,1000,4,257,3796.33,27,1.6
mouth guard for grinding teeth at night,1414710,176.1,57,49,52.7,-1.9,0.4,0.2,B0D8KFNF94,23.4,-2.3,0.1,-0.1,B0D873NWFY,18.1,1.5,0.3,0.3,B0DB1PZ4VJ,11.2,-1.1,0,0,273,3,1046,18347.78,799,3.1
tinnitus relief for ringing ears,1404044,-1.5,42,-180,52.3,5.3,2.1,-0.3,B0DDPVLMB5,28.3,5.7,1.1,0.1,B0D8ZKXGQQ,16.4,1.5,0.2,-1.3,B07QG57F52,7.6,-1.9,0.8,0.8,464,2,586,11764.15,427,1.5
it ends with us,1388023,1172.2,27,99,74,5,60.7,-7.1,B0DBM9XHBT,50.2,18.3,0,-45.9,1501110365,13.5,-12.3,47.5,34.8,B0176M3U10,10.3,-1,13.2,4,3000,,,,,
nad supplement,1388023,22.5,50,26,62.5,-21.8,0.1,0,B0DDPRV5QG,25.9,-12.1,0,0,B0DBZSYZ1Y,25.2,0.5,0,0,B0D96PNQ7H,11.4,-10.2,0.1,0.1,724,3,313,10828.68,561,1.5
apple watch,1293849,-38,13,-117,28.5,-4.4,18.1,-3.2,B0CHX9CY7W,10.9,-0.6,6.8,-0.3,B0CHX7R6WJ,9.6,-1.7,5.1,-2.3,B0CSTFHP3W,8.1,-2.2,6.3,-0.6,359,11,65211,16151687.87,24967,4.6
highlighters,1273313,38.3,19,63,37.7,1.3,42.6,0.8,B000Q5ZGIA,22.8,5.3,28.3,4.9,B002BA5WMI,10.1,-2.6,11.3,-3.3,B0891Y35JM,4.8,-1.4,3,-0.7,2000,106,151412,663979.14,102804,4.8
water bottle,1245787,32.7,14,33,14,-2,2.2,-1.1,B085DTZQNZ,7.2,-1,1.4,0.9,B01KXHIWL8,3.9,-0.3,0.7,-0.2,B0BZYC7N7X,2.9,-0.7,0.2,-1.8,20000,71,136972,3776022.66,132235,4.7
backpack,1243533,24,22,0,14.3,-2.4,7.2,-0.9,B06XZTZ7GB,7.1,0.4,6,3.7,B0CDCNTZNP,3.9,-1.8,0.4,-5.1,B0823VFB4C,3.3,-1,0.8,0.5,70000,,36713,1403140.38,105401,4.7
pencil case,1228432,19.6,16,64,14.3,-3.3,4.9,-0.3,B09QM2DRBV,6,-1.5,1.5,-1.5,B08P48YL4G,4.4,-1,1.4,-0.1,B0BJPDJ84Y,3.9,-0.8,2,1.4,8000,,100697,1334159.37,35796,4.7
if,1199702,-41.5,38,-280,94.4,-1.9,0,0,B0CW1LC1SP,88.9,2.8,0,0,B0CW19SCVW,2.9,-4.2,0,0,B0D1WP7VNK,2.6,-0.5,0,0,20000,,,,,
contact lens applicator tool,1173399,207.1,79,94,97.4,4.6,1.9,-1,B0DB536N2J,83.1,31.4,0.2,0.2,B0DCVCFWGN,13.2,-9.5,1.7,-0.1,B0D7Z3RCZ8,1.2,-17.3,0,-1.1,431,,523,8575.96,1319,3.2
magnesium glycinate,1141939,47.3,17,66,38.6,-0.4,28.6,0.4,B08XXHCGZT,17.2,0,13.5,-0.9,B07P5K7DQP,15.1,-1.2,11.2,1,B0058HWV9S,6.3,0.8,3.9,0.3,2000,155,322859,9554149.85,75894,4.7
laptop,1137296,-4.4,20,-18,21.5,5.2,14.6,4.6,B0B2D77YB8,8.5,2.1,5.6,0.8,B0CJB5N9BQ,6.7,1.3,4.3,1.6,B0947BJ67M,6.3,1.8,4.7,2.2,20000,28,9377,2382145.16,3659,4.1
shower curtain,1113050,12.1,15,42,17.9,6,11,3.2,B09CYLZPYP,7.4,2.2,2.3,0.7,B00LS9UD2M,6.2,2.8,6.6,3.2,B098PY2MTW,4.2,1.1,2.1,-0.7,20000,67,285198,3253998.6,297400,4.6
kalki,1086396,10430.2,420,99,96.3,47.7,0,0,B0DC74WPTT,87.6,59,0,0,B0DC76QCN1,7.6,-3.4,0,0,B0DC7P4NPX,1.1,-7.8,0,0,167,,,,,
from,1078803,689.6,66,95,66.3,7.2,0,0,B0B7BZX85J,28,3.5,0,0,B0B8KSGBRQ,21.6,-2.6,0,0,B0B6G97YNC,16.7,6.3,0,0,100000,,,,,
it ends with us colleen hoover,1061700,286.7,52,93,66.8,-5.9,62,3.4,1501110365,45.7,-2.6,47.4,-1.1,B0176M3U10,10.6,-4.3,13.1,4.5,B01GGU0XWC,10.5,1,1.6,0,277,,,,,
iphone 15 pro max case,1061700,-0.2,18,22,19.9,0.6,10.4,0.2,B0CC1F4V7Q,10.7,1,6.2,-0.2,B0CDPGGL3C,5.7,-0.2,2.6,0.2,B0CDGFLRG6,3.5,-0.2,1.5,0.1,20000,14,58525,884751.95,192272,4.4
desk,1038729,21.3,21,22,10,-3.1,6.4,1.2,B0CLRLGY4N,3.8,-1.7,1.6,0.2,B0BWJJ61B5,3.3,-1.3,2.8,-0.3,B0BZ7GXM4M,2.8,-0.1,2,1.3,10000,17,40716,2204801.04,28367,4.5
pheromones perfumes for women,1012700,454.5,105,87,59.5,4.5,0.1,-0.5,B0D9HCWW98,27.9,5.8,0.1,0.1,B0D9BGS239,16.3,-4,0,-0.1,B0DCJ76FKN,15.3,2.8,0,-0.5,1000,3,280,4879.53,762,3.2
aa batteries,1006769,30.7,23,41,52.3,6.6,44.4,9.7,B00NTCH52W,27.9,7.8,23.5,8.2,B00MNV8E0C,17.2,0.5,14.8,1,B002UXRXEG,7.2,-1.7,6.1,0.4,2000,102,383578,4978595.96,1645156,4.7
air fryer,985990,-32,26,-136,27.8,4.1,21.9,3.3,B07FDJMC9Q,12.7,2.8,9.3,2.9,B0CSZ7WBYW,9.4,1.8,8.7,1.2,B0BDFRZX3F,5.8,-0.5,3.8,-0.8,1000,29,57149,4941532.78,86789,3.1
jackpot,978373,5823.8,137,100,99,12,0,0,B0D1J3MM6Q,93.3,26.2,0,0,B0D1JBLX5N,5.1,-10.4,0,0,B08KWPX5ZT,0.6,-3.8,0,0,5000,,,,,
despicable me,970340,-6.6,36,40,82.5,14.1,0,0,B0D6JX1H78,66.2,32.8,0,0,B00BTOG1KE,9,-10.9,0,0,B0721N8SPP,7.3,-7.7,0,0,514,,,,,
crocs,967617,-11.4,25,-92,17.8,-0.1,1,0.1,B0C8BJL1D3,9,-0.2,0,0,B0014C2NBC,4.5,-1,0.7,0.3,B0015259Z8,4.2,1.1,0.3,-0.2,7000,,456345,12994389.35,1766871,4.8
beetlejuice,948271,218.3,156,74,81.8,-9.4,0,0,B0B6RRJW1N,76.1,-10.9,0,0,B001EC2ISA,4.5,1.3,0,0,B0091W0ILY,1.2,0.2,0,0,2000,,,,,
longlegs,931074,237.9,131,94,98.2,4.2,60,2.5,B0D6NP6FTK,84.6,5.7,0,0,B0D6NNDB88,12.3,-0.2,0,0,B0D7TWXJZ3,1.4,-1.2,60,2.5,560,,2333,68778.3,29,1.2
nad,928052,30.2,204,-112,64.8,-0.6,0.1,-0.1,B0CQSC3PKH,29.1,2.4,0,0,B0D9TNLZN8,19.9,-4.8,0,0,B0D96PN5QQ,15.8,1.8,0.1,0,785,5,1045,50066.01,428,1.5
apple watch bands for women,914847,21.6,30,12,11.9,3.5,5.8,2,B0B2ZYHJKP,5.1,1.8,2.9,1.6,B0BR93H51V,3.6,0.9,1.3,0.3,B0CT5B4PTF,3.3,0.8,1.6,0.1,9000,,56791,603940.24,45890,4.6
bad boys,911394,-23.3,179,-75,83.4,2.1,0,0,B0D52LSLMK,54.2,-11.7,0,0,B0D94SWLRK,22,13,0,0,B083ZGS89T,7.2,0.8,0,0,10000,,,,,
protein powder,899498,3.2,31,-7,18.9,-0.9,11.8,-1.7,B06ZZ3PJQD,7.2,0.4,3.6,-2.4,B002DYIZH6,6.1,-0.6,3.7,0.2,B00J074W7Q,5.6,-0.7,4.5,0.5,3000,154,296077,9149973.14,337289,4.5
shoe rack,898793,39.5,29,48,18.6,2.5,13.8,2,B0CMZD8BH8,10.2,3.4,7.6,2.2,B084JVLK17,4.4,-0.5,3.5,0.5,B08MJMN4Q9,4,-0.4,2.7,-0.7,3000,34,59776,1015704.15,24288,4.2
water flosser,885238,145.4,53,82,39.9,5,27.7,7.8,B0BG52SJ5N,18.2,-0.2,11.3,2.7,B0CMCXBQD6,13.1,1.8,10.8,1.9,B09T8WK7Q8,8.7,3.4,5.7,3.2,972,24,170048,5514634.31,40501,4.4
paw patrol,884952,-21.1,40,-5,51.9,-5.2,0,0,B0CLK1GR13,35.5,-9.4,0,0,B00EIA7TTI,9.5,2.5,0,0,B0B8QSCSN7,6.9,1.6,0,0,5000,,,,,
school supplies,879270,0.9,99,-183,19.9,1.3,18.6,0.6,B071JM699B,10.1,1,8.9,2.4,B000Q5ZGIA,5.6,0.8,7.1,1.7,B003O2RXUQ,4.2,-0.5,2.6,-3.5,100000,,151721,457859.41,110587,4.8
stanley,858001,6,34,17,40.9,-7,4.6,-0.8,B0CK9GTLJY,25.7,0.9,1.9,-0.4,B08VPSGX5G,9.4,-8.6,1.7,-0.5,B0BYWFHZCC,5.9,0.7,1,0.2,10000,23,188133,7706192.93,131662,4.6
house of the dragon,850538,-12.6,242,-415,47.8,9.8,0,0,B0D9HPGVNY,19.4,3,0,0,B0B8L62GBH,15.1,2.1,0,0,B0B8RWXWYG,13.3,4.8,0,0,4000,,,,,
toothpaste,845480,31.1,33,43,30,1.4,29,0.6,B01BNHREXE,11.6,0.6,11.1,0.2,B005PLQIQ4,10.6,1.8,10.6,1.8,B082F1QH7S,7.8,-1,7.3,-1.5,4000,93,162317,1328386.69,163887,4.7
akkermansia probiotic,836934,-34.7,68,-19,91.1,-7.7,0.9,-0.9,B0DCB6BFJF,53.4,-1.6,0.4,0.2,B0DDQ3Y84D,29.6,-4,0.4,-1.2,B0DDV8MR6T,8.2,-2.1,0.2,0.2,266,3,148,5425.88,917,1.5
the rings of power,833532,12801,941,98,60.5,16.3,0,0,B0B8KWCS2K,21.1,2.6,0,0,B09QHCPD34,20.2,3.9,0,0,B09QH9FKP4,19.2,9.8,0,0,1000,,,,,
lunch box,826129,59.5,37,70,20.6,5.6,11.5,5.5,B0BQHKMZZ1,8.7,1,3.4,-1,B0CKR255GV,6.6,2.7,5.6,4.7,B0C4H2YVPX,5.3,1.9,2.5,1.9,30000,17,109259,1076055.84,11443,4.5
mini fridge,820302,8.5,32,-3,24.2,0.7,14.2,0,B08X6QBB2N,11.2,1.7,5.6,-2.1,B07KZLJ7PB,6.9,-2.1,4.8,1.3,B09RWFZTWW,6.1,1.1,3.9,0.8,1000,49,31880,1550773.29,26095,4.2
nerve savior for neuropathy,809064,39.6,186,50,95.8,18.3,1.1,-1.4,B0D7H2N11T,54.7,18.8,0.6,-0.8,B0DBZTZDQK,25.6,1.7,0.6,-0.4,B0D3H6L3LL,15.5,-2.2,0,-0.2,135,5,583,17959.09,1942,3.1
pens,805802,20.6,35,53,20.2,4.7,19.7,5.5,B0058NN4C0,8.2,2.7,9,3.7,B00005249G,6.3,1.1,7.7,5.5,B019QBOG3U,5.8,0.8,3,-3.7,20000,117,138399,928442.22,108424,4.8
headphones,800711,-3.8,39,19,18.4,4.5,16.7,7,B00NJ2M33I,8.6,2,12,7.8,B00NJ2M43M,5,0.9,3.5,-1.2,B0BS1RT9S2,4.8,1.6,1.2,0.4,10000,82,33396,557207.56,219128,4.5
aaa batteries,790661,40.6,44,48,60,7.4,51.7,6.4,B00LH3DMUO,39,3.5,31.9,3,B002UXRXE6,12.3,3.1,11.6,2.5,B0BFFQQHRY,8.8,0.8,8.1,0.9,989,103,284570,3576614.35,829753,4.7
north face backpack,790142,34.9,132,-23,33.2,-18.4,17.2,-8.3,B0CDCNTZNP,17.7,-10.9,6.1,-3.3,B0CN9TGT14,7.8,-8.8,5.4,-6.7,B0CN9SD8JF,7.8,1.3,5.6,1.7,684,,,,2766,4.7
air purifier,771727,-15.8,47,-47,39.8,-3.7,26.6,-1.5,B09FJSJQ95,17.6,-3.8,10.4,-1.7,B07VVK39F7,16.3,1.1,11.5,1.5,B09GTRVJQM,6,-1,4.8,-1.2,2000,44,134198,8202667.64,138129,4.6
spongebob,762794,740.2,108,96,33.4,2.7,0,0,B00C0YFM3E,13.1,-7.4,0,0,B00CRMSSKS,11.8,6,0,0,B0BX4D8N9J,8.5,4.1,0,0,5000,,,,,
beef tallow for skin,759913,249.2,440,47,58.1,-4.9,8.5,8.5,B0D9VV6P4C,26.2,-8.1,0,0,B0DBH3RNJM,21.1,6.5,0.1,0.1,B0CZDGNZLD,10.9,-3.3,8.4,8.4,596,,4528,220982.95,262,1.3
ring doorbell,754184,-45.5,75,-525,65.4,0.4,45.8,12.3,B08N5NQ869,37.5,-2.9,28.6,14.3,B08CKHPP52,18,4.6,9.7,-5.7,B09WZBPX7K,9.9,-1.3,7.5,3.7,2000,,13612,871967.46,205537,1.5
alpha lipoic acid,750686,18.6,412,47,85.4,3,33.6,3.2,B0D7H2N11T,76.3,37.1,0,0,B01CKLMWYS,7.4,-26.8,28.4,28.4,B08D6Z8TPW,1.7,-7.2,5.1,-25.2,586,70,68490,1469375.44,73831,4.6
varicose veins treatment for legs,750637,20.5,268,21,42,-26.1,0,-1.9,B0D9N9RB2H,14.7,-19.8,0,-0.1,B0DCNY3KVM,14.3,-2.9,0,0,B0CK5MHLHS,13,-3.4,0,-1.8,419,6,12,217.19,409,1.3
office chair,745883,15.8,43,36,18.3,3.1,14.7,0.9,B08KSCDM47,7.1,-0.4,7.4,1.1,B0CZLHFWL8,6,1.5,1.9,-2.4,B07B7K7N3P,5.2,2,5.5,2.3,7000,47,112572,5225419.61,78239,4.3
owala water bottle 24 oz,745579,87.1,48,71,56.3,-14,13.3,5.4,B085DTZQNZ,31.7,-26.1,7.2,0.6,B0BZYCJK89,14.8,7.4,4.7,4.4,B0BZYC7N7X,9.7,4.7,1.5,0.4,276,31,158295,4424204.86,161634,4.7
vibrator,741716,5.5,98,-58,29.1,-13.2,18.7,4.9,B07HBBKY1G,12.7,-14.3,9.8,9.7,B07YW5DZBQ,9.9,0.5,5.6,-4.6,B0BNHVM4C8,6.6,0.6,3.3,-0.3,9000,51,,,46777,4.2
airtag,738104,84,49,70,84.4,4,78.5,8.9,B0CWXNS552,52.3,-9.9,50.4,-9.3,B0D54JZTHY,28.6,13.5,26,16.5,B0CGDDXY11,3.5,0.4,2.1,1.7,1000,8,53251,2816363.53,6294,3.1
coraline,737867,235.6,167,76,74.6,-3.7,0,0,B0BX2Z7Y85,64.3,-6.3,0,0,B0B6BCPCFS,6.1,2,0,0,B002BWCJOA,4.1,0.6,0,0,1000,,,,,
halloween decorations,730125,232,117,85,11,1.7,9.9,5.9,B07TLWRZTT,4.6,0.3,5.4,3.5,B01LC94KFS,3.3,0.8,2.9,1.8,B07577NKN6,3.2,0.7,1.6,0.6,100000,,15070,128427.43,12684,4.5
spongebob squarepants,724855,-19.7,861,-2227,30.7,3.1,0,0,B00C0YFM3E,14.9,4.1,0,0,B08F2Z4Y6L,8.9,-0.4,0,0,B0BX4D8N9J,6.9,-0.7,0,0,841,,,,,
iphone charger,723856,5.2,45,15,27.3,6.2,19.1,4.7,B08P25VBY1,11.5,0.9,10.3,4.7,B0CGR5545B,8.5,2.6,4.1,-1.1,B0BW5X89MM,7.3,2.6,4.8,1.2,5000,27,41331,339198.98,43514,4.4
liquid iv,722639,-22.6,51,-82,44.5,7.2,34.6,6.5,B0CHN5D13P,21.2,4.4,16.7,3.3,B01IT9NLHW,12.8,1,11.9,2.6,B0CG7W485N,10.5,1.8,6,0.6,435,44,120255,3113183.56,106446,4.6
dry erase markers,718537,48.1,54,61,28.4,2.1,27.3,1.6,B00006IFIK,10.3,1.2,11.4,2.5,B00I8OBAOU,9.9,1.2,9.7,0.9,B00T3ROM9G,8.2,-0.2,6.2,-1.8,2000,165,158413,1038774.25,155761,4.7
batman,716876,228.8,144,73,33.7,-2.2,0,0,B0CYFVRBFN,12.8,-4.8,0,0,B0D5VBYTKN,11.5,-0.4,0,0,B0CXYBQ64B,9.4,3,0,0,20000,,,,,
fire tv stick,715394,-36.1,67,-272,75.6,-0.4,67.3,-3.4,B08C1W5N87,41.6,-4.6,38.3,-7.8,B0BP9SNVH9,22.9,1.5,19.9,4.1,B091G4YP57,11.1,2.7,9.1,0.3,226,,,0,,
ps5,701585,-9.2,60,-22,53,-3.6,54.5,-2.5,B0CL61F39H,39.8,-3.9,45.3,-5.3,B0CV4J3TS7,6.9,-1.2,3.4,-1.6,B0BMXYPFTK,6.3,1.5,5.9,4.3,50000,13,5610,2819272.69,8051,3.1
twi,697830,231.5,210,85,93.1,11.1,0,0,B0D6XN334B,75.5,24.3,0,0,B00CYWURLO,12.5,-4.5,0,0,B00S08WII6,5.1,-8.7,0,0,87,,,,,
lego,694993,-39.7,62,-148,18,7.9,10.5,-3,B0B8RVSNFB,9.4,5.4,0,-6,B0CGY4J7QT,4.5,1.2,6.1,3.4,B00NHQF6MG,4.1,1.3,4.4,-0.3,20000,,44853,1069840.93,28447,3.2
mission impossible,694537,30.4,312,3,67.9,-8,0,0,B0CTWYSFLK,42.8,-13.6,0,0,B00BW7681U,13.3,1.2,0,0,B012PJYGRG,11.8,4.4,0,0,1000,,,,,
colored pencils,690449,28.2,69,55,57.4,13.5,60.7,16.1,B00006RVTS,25,0.4,29.3,2.7,B07D93R5HV,20.9,9.6,20.4,8.4,B0002HYYHG,11.5,3.5,11,5,7000,147,137514,701195.51,60641,4.8
ashwagandha,685900,80.5,56,74,54.9,11.1,40.6,7.7,B0CQMHSPDV,23.1,5.6,16.1,-0.5,B094T2BZCK,19.6,3.6,12.8,2.2,B06ZYHJYD5,12.2,1.9,11.6,6,5000,47,207837,2904857.42,97298,4.5
keto acv gummies,680176,2335.3,232,98,94,71.3,10.3,-1.6,B0D966XYVG,87.9,77.2,0,-3.3,B0D95QH8C1,5.1,-1.2,0,-4.1,B0D4VZG4FS,0.9,-4.7,10.3,5.9,1000,3,1340,38921.54,589,3.1
mouse pad,674603,56.4,63,57,15.8,2,11.3,0.6,B06X3W3TM4,6,0.2,5.6,-0.1,B09DV56338,5.1,0.7,4.5,3.4,B0BMTPC44X,4.7,1.1,1.2,-2.7,10000,50,70525,669865.79,19249,3.1
mechanical pencil,671560,62.9,83,60,27.3,-5.8,29.7,-6.7,B01JHMVG5O,11.1,-4,12.4,-3.9,B00260X7F2,10.7,1.2,14,-0.4,B09QXWMDZ8,5.5,-3,3.4,-2.5,3000,74,145569,1372984.23,64397,4.8
pimple patches,670497,36.9,58,36,45.2,-1.2,43.3,4.7,B074PVTPBW,29,0.5,29.4,7.8,B0CCRWC6W9,10.5,-2.2,9.9,-4,B08628VNNK,5.7,0.5,4.1,0.9,1000,51,237718,2492475.72,170843,4.5
iphone 13 case,669176,10.3,55,33,16.8,0,10.2,0.3,B099JVC9HL,6.4,-0.3,3.6,0,B09BTKNGN5,5.6,0,3.5,0.1,B09FJDTX41,4.8,0.4,3.1,0.2,30000,38,46877,596356.09,149847,4.6
pencils,665624,63,87,52,47.7,4.2,48.7,4.7,B071JM699B,34,11.4,36.8,10.7,B071JM699P,6.9,-4.2,5.7,-5.2,B002VL5IJO,6.7,-3,6.3,-0.7,7000,86,169067,1025166.77,111116,4.8
creatine,664796,46.4,77,16,43.2,5.4,35.8,4.8,B00GL2HMES,23.1,2.2,21.9,2.2,B002DYIZEE,14.2,4.6,9.3,3.6,B00E9M4XFI,6,-1.5,4.5,-1,932,168,275421,5699792.44,162629,4.6
led lights for bedroom,663887,11.7,61,36,41.4,0.4,38.5,-0.8,B0932M1666,19.3,-2.1,19.4,-1.5,B0D4DJ6BRR,13.5,-1.1,10.7,-3,B0C2MHG632,8.6,3.6,8.5,3.7,60000,26,99298,1180838.75,75418,4.4
glue sticks,659855,61,101,44,72.7,1.8,70.1,3.9,B003ULCZ7M,41.9,10.2,43.3,13.8,B000VXO4L2,20.3,-6.4,16.9,-7,B00143SNPG,10.5,-2.1,9.9,-2.8,2000,188,100709,542306.71,86071,4.8
shower head,648796,12.1,59,18,18.8,1.3,13.1,2.7,B08WPQ12XX,6.9,-0.3,5.6,-0.6,B0CGRFJC9M,6.4,0.6,3.4,-0.1,B07SQ4R65K,5.4,1,4.1,3.5,4000,40,70224,1741753.59,78154,4.5
the summer i turned pretty,644422,-55.6,93,-182,52,2.9,0,0,B0BZWVXMJQ,18.3,-3,0,0,B09NF5H7J5,18.1,2.1,0,0,B0B24V9NF6,15.5,3.8,0,0,149,,,,,
composition notebook,644007,84.7,97,77,25.9,4.5,24.7,3.9,B071NRXVBP,14.8,6.2,16.9,6,B07CHHSTT9,5.8,-1.3,4.7,-0.2,B001F38YWM,5.4,-0.4,3.2,-1.9,40000,,128504,741731.34,29310,4.8
dog cough treatment,643469,85.3,298,81,97.4,4.5,3.2,3.2,B0D9VVL1QY,78.8,22.4,3.2,3.2,B0DB51Q569,15.5,-13.9,0,0,B0DDBYZ46G,3.1,-4,0,0,166,3,,,1383,1.5
ingrown toenail treatment,639328,73.2,238,62,69.7,-6.4,0.3,0.1,B0DCJ3VKLV,48.9,19.6,0.3,0.3,B0DCS8JQDH,14,-15.1,0,0,B0DCBLP27V,6.8,-10.9,0,-0.2,1000,2,268,4269.74,309,1.5
alexa,638464,-27.9,94,-104,35,-5.3,23.2,0.6,B09B93ZDG4,17.3,-6.4,12.4,-4.7,B09B8V1LZ3,9.3,-0.3,7.2,2.7,B0BFC7WQ6R,8.5,1.4,3.5,2.7,4000,,,0,,
shilajit resin,625927,588.6,256,83,97,2.1,0,-10.2,B0DCB8YJQ7,46.9,-16.7,0,-0.1,B0D2KQHGHD,27,-3.3,0,0,B0D2NV7DZK,23.2,22.1,0,-10.1,855,,104,2098.93,265,1.5
the chosen,624192,-6.5,120,6,42.8,6.1,0,0,B0BZX1HJ7L,18.4,-0.4,0,0,B0B6Q6P352,13.5,4,0,0,B0CVFZ819W,10.9,2.6,0,0,40000,,,,,
